Фамилия Имя Отчество Дата рождения	Текущее подразделение 	Текущая должность	Дипранг
ПРОКОФЬЕВ ПАВЕЛ АЛЕКСЕЕВИЧ 13.07.1958	ГЕНСЕКРЕТАРИАТ (ДЕПАРТАМЕНТ) 01.08.2006 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 02.06.1998
ПРОСВИРКИН АЛЕКСАНДР ЛЬВОВИЧ 12.05.1955	КОНСУЛЬСКИЙ ДЕПАРТАМЕНТ 13.12.2010 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 14.02.2003
ПРОХОРОВ ИВАН ВЛАДИМИРОВИЧ 21.06.1955	ГЕНКОНСУЛЬСТВО РОССИИ В ОСАКЕ, ЯПОНИЯ 01.09.2005 01.09.2011	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 18.02.2002
ПУЧКОВ СЕРГЕЙ ЮРЬЕВИЧ 09.09.1950	ГЕНКОНСУЛЬСТВО РОССИИ В ГДАНЬСКЕ, ПОЛЬША 26.04.2009 09.03.2012	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 24.09.2002
ПУШКОВ ВЛАДИМИР АЛЕКСЕЕВИЧ	ГЕНКОНСУЛЬСТВО РОССИИ В НИИГАТЕ, ЯПОНИЯ	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 04.11.2011
РАЦИБОРИНСКИЙ НИКОЛАЙ ЛЕОНИДОВИЧ 22.06.1949	ПОСОЛЬСТВО РОССИИ В КАМЕРУНЕ 28.02.2011 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 11.04.2006
РЕВА МИХАИЛ МИХАЙЛОВИЧ 13.10.1949	ГЕНКОНСУЛЬСТВО РОССИИ В КОНСТАНЦЕ, РУМЫНИЯ 28.09.2010 27.09.2013	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 10.02.2004
РОГОВ АЛЕКСЕЙ АЛЕКСАНДРОВИЧ 22.05.1961	ПОСОЛЬСТВО РОССИИ В ДАНИИ 08.03.2008 07.03.2012	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 07.02.2007
РОГОВ СЕРГЕЙ СТЕФАНОВИЧ 15.09.1949	ПОСОЛЬСТВО РОССИИ В НИГЕРИИ 07.06.2006 14.09.2011	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 17.12.2008
РОМАНЧЕНКО ИГОРЬ ВЛАДИМИРОВИЧ06.03.1958	ПОСОЛЬСТВО РОССИИ В АРГЕНТИНЕ07.2009	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 10.02.2012
РУДАКОВ АЛЕКСАНДР НИКОЛАЕВИЧ	ПРЕДСТАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПРИ ПАЛЕСТИНСКОЙ НАЦИОНАЛЬНОЙ АДМИНИСТРАЦИИ В Г.РАМАЛЛА	РУКОВОДИТЕЛЬ МИССИИ 	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 07.11.2012
РУНОВ ВАЛЕРИЙ БОРИСОВИЧ 10.08.1948			ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 15.07.2005
САВВА МИХАИЛ ИВАНОВИЧ 14.11.1957	ДЕПАРТАМЕНТ ЭКОНОМИЧЕСКОГО СОТРУДНИЧЕСТВА 25.07.2011 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 12.04.2010
САДИКОВ РАШИД СЕРГЕЕВИЧ 20.06.1958	ГЕНКОНСУЛЬСТВО РОССИИ В АЛЕППО, СИРИЯ 08.04.2007 07.04.2012	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 18.09.2009
САЛОВ ВЛАДИМИР ПАВЛОВИЧ	ДЕПАРТАМЕНТ НОВЫХ ВЫЗОВОВ И УГРОЗ	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 04.11.2011
САЛТЫКОВ АЛЕКСЕЙ ЭДУАРДОВИЧ 15.07.1959			ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 07.02.2007
САФРОНОВ АЛЕКСАНДР АНАТОЛЬЕВИЧ 02.08.1952	ДЕП-Т ПО РАБОТЕ С СООТЕЧЕСТВЕННИКАМИ ЗА РУБЕЖОМ 03.04.2006 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 17.06.2008
САФРОНОВ АЛЕКСАНДР ВАНЦЕТТИЕВИЧ 09.04.1949	ДЕПАРТАМЕНТ АФРИКИ 26.11.2010 	НАЧАЛЬНИК ОТДЕЛА В ДЕПАРТАМЕНТЕ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 26.03.2000
СВЕТЛИЧНЫЙ ВЯЧЕСЛАВ ЛЕОНИДОВИЧ 04.02.1951	ТРЕТИЙ ДЕПАРТАМЕНТ СТРАН СНГ 05.02.2011 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 11.02.2008
СВЕРЧКОВ АЛЕКСАНДР БОРИСОВИЧ	ГЕНКОНСУЛЬСТВО РОССИИ В ТУРКУ, ФИНЛЯНДИЯ	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 10.02.2012
СВИРИДОВ АЛЕКСЕЙ ГРИГОРЬЕВИЧ 05.06.1957	ГЕНКОНСУЛЬСТВО РОССИИ В СИДНЕЕ, АВСТРАЛИЯ 23.01.2010 22.01.2013	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 17.06.1999
СЕДЫХ ВЛАДИМИР ВАСИЛЬЕВИЧ 02.02.1962	ТРЕТИЙ ЕВРОПЕЙСКИЙ ДЕПАРТАМЕНТ 30.09.2008 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 14.02.2006
СЕЛЕЗНЕВ ВИКТОР АЛЕКСАНДРОВИЧ 13.02.1951	ПОСОЛЬСТВО РОССИИ В БРУНЕЙ-ДАРУССАЛАМЕ 31.07.2009 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 22.05.2002
СЕЛИВЕРСТОВ ВЛАДИМИР ВАСИЛЬЕВИЧ 03.03.1954	ДЕПАРТАМЕНТ ГОСУДАРСТВЕННОГО ПРОТОКОЛА 05.05.2010 	ГЛАВНЫЙ СОВЕТНИК ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 23.04.2008
СЕМИВОЛОС ВЛАДЛЕН СТАНИСЛАВОВИЧ 27.11.1961	ДЕП. АЗИАТ.И ТИХООКЕАН. СОТРУДНИЧЕСТВА 03.05.2011 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 01.06.2009
СЕРАЗЕВ ВАЗЫХ ИБРАГИМОВИЧ 30.01.1950	ТРЕТИЙ ДЕПАРТАМЕНТ СТРАН СНГ 01.11.2010 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 12.07.2010
СЕРЕГИН ВЛАДИМИР ИВАНОВИЧ 19.04.1957	ЧЕТВЕРТЫЙ ДЕПАРТАМЕНТ СТРАН СНГ 11.01.2010 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 06.02.2009
СИБИЛЕВ ВИКТОР ИВАНОВИЧ 01.05.1955	ДЕП-Т ПО РАБОТЕ С СООТЕЧЕСТВЕННИКАМИ ЗА РУБЕЖОМ 23.03.2009 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 30.03.2006
СИМАКИН СЕРГЕЙ АЛЕКСАНДРОВИЧ 09.04.1951	ПОСТПРЕДСТВО РФ ПРИ УСТАВНЫХ И ДР.ОРГАНАХ СНГ В МИНСКЕ 21.09.2010 09.04.2012	ЗАМ. ПОСТ. ПРЕДСТАВИТЕЛЯ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 17.06.2008
СКУПОВ МИХАИЛ ЕВГЕНЬЕВИЧ 10.10.1959	ДЕПАРТАМЕНТ ВНЕШНЕПОЛИТИЧЕСКОГО ПЛАНИРОВАНИЯ 15.08.2011 	ГЛАВНЫЙ СОВЕТНИК ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 20.11.2007
СКАЧКОВ АНДРЕЙ СЕМЕНОВИЧ26.02.1962	ПОСОЛЬСТВО РОССИИ В ЛАТВИИ09.2008	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 10.02.2012
СМАГА АНДРЕЙ ВАСИЛЬЕВИЧ 12.12.1953	СЕКЦИЯ ИНТЕРЕСОВ РФ ПРИ ПОСОЛ-ВЕ ШВЕЙЦАРИИ В ГРУЗИИ 09.02.2008 08.02.2011	РУКОВОДИТЕЛЬ МИССИИ РОССИЙСКОЙ ФЕДЕРАЦИИ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 13.09.2010
СМИРНОВ ВАДИМ СТАНИСЛАВОВИЧ 23.09.1956	ПОСТПРЕДСТВО РОССИИ ПРИ МО В ВЕНЕ, АВСТРИЯ 15.02.2010 14.02.2013	ЗАМ. ПОСТ. ПРЕДСТАВИТЕЛЯ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 09.02.2010
СМОРОДИН АНДРЕЙ НИКОЛАЕВИЧ 15.08.1954	ГЕНКОНСУЛЬСТВО РОССИИ В ШАНХАЕ, КНР 27.02.2011 26.02.2014	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 10.12.2002
СОКОЛЕНКО ВЛАДИМИР ГРИГОРЬЕВИЧ	ДЕПАРТАМЕНТ ВНЕШНЕПОЛИТИЧЕСКОГО ПЛАНИРОВАНИЯ	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 14.12.2012
СОКОЛОВ АЛЕКСЕЙ АНАТОЛЬЕВИЧ 01.06.1964	ДЕПАРТАМЕНТ ЭКОНОМИЧЕСКОГО СОТРУДНИЧЕСТВА 27.10.2008 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 28.11.2007
СОЛОВЬЕВ ЮРИЙ АЛЕКСАНДРОВИЧ 01.02.1957	ГЕНКОНСУЛЬСТВО РОССИИ В ВАРНЕ, БОЛГАРИЯ 16.10.2009 15.10.2012	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 06.05.2004
СОРОКИН АНДРЕЙ АЛЕКСАНДРОВИЧ 11.04.1950			ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 06.03.2007
СОРОКИН ВАЛЕРИЙ ЕВГЕНЬЕВИЧ 02.10.1955	ДЕП. АЗИАТ.И ТИХООКЕАН. СОТРУДНИЧЕСТВА 08.02.2010 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 06.06.2005
СОФИНСКИЙ НИКОЛАЙ ВСЕВОЛОДОВИЧ 10.02.1958	ПОСОЛЬСТВО РОССИИ В ПЕРУ 15.02.2011 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 30.12.1996
СПРИНЧАН ВЛАДИМИР ИВАНОВИЧ 31.08.1957	ТРЕТИЙ ДЕПАРТАМЕНТ СТРАН СНГ 03.05.2011 	ГЛАВНЫЙ СОВЕТНИК ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 21.05.2010
СТЕРНИК АЛЕКСАНДР ВАДИМОВИЧ 20.01.1966	ДЕП. ОБЩЕЕВРОПЕЙСКОГО СОТРУДНИЧЕСТВА 18.08.2011 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 12.06.2011
СТЕПАНОВ ОЛЕГ ВЛАДИМИРОВИЧ	ПОСОЛЬСТВО РОССИИ В США	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 16.07.2012
СУРИКОВ АЛЕКСАНДР ВАСИЛЬЕВИЧ 05.04.1956	ПОСОЛЬСТВО РОССИИ В ИСПАНИИ 28.04.2008 27.04.2012	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 13.09.2010
СУСЛОВ ДМИТРИЙ ЮРЬЕВИЧ 23.12.1955	ПОСОЛЬСТВО РОССИИ В НАМИБИИ 27.11.2009 26.11.2011	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 07.02.2007
ТАВДУМАДЗЕ НИКОЛАЙ КАРЛОВИЧ 21.01.1956	ДЕПАРТАМЕНТ КАДРОВ 11.01.2010 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 18.07.2007
ТАРАСЕНКО СЕРГЕЙ МИХАЙЛОВИЧ 19.07.1961	ПОСОЛЬСТВО РОССИИ В КАЗАХСТАНЕ 17.03.2011 16.03.2014	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 22.11.2010
ТЕМНИКОВ ВАДИМ БОРИСОВИЧ 10.06.1951	ПОСОЛЬСТВО РОССИИ НА КУБЕ 26.11.2011	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 11.02.2008
ТЕРЕХИН ЕВГЕНИЙ ЕВГЕНЬЕВИЧ	ПОСОЛЬСТВО РОССИИ В КИРГИЗИИ	СОВЕТНИК - ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 16.07.2012
ТИХОНОВ ВАЛЕРИЙ БОРИСОВИЧ 09.10.1957	ЧЕТВЕРТЫЙ ЕВРОПЕЙСКИЙ ДЕП. 11.04.2011 	НАЧАЛЬНИК ОТДЕЛА В ДЕПАРТАМЕНТЕ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 24.01.2008
ТКАЧЕВ ВЛАДИМИР ВИКТОРОВИЧ	ГЕНКОНСУЛЬСТВО РОССИИ В ПОЗНАНИ, ПОЛЬША	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 10.02.2012
ТКАЧЕНКО ВСЕВОЛОД ИГОРЕВИЧ 09.10.1960	ДЕПАРТАМЕНТ АФРИКИ 23.05.2011 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 11.03.2009
ТОКМАКОВ ВЛАДИМИР ГЕОРГИЕВИЧ 27.03.1960	ПОСОЛЬСТВО РОССИИ В БРАЗИЛИИ 23.12.2008 28.02.2014	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 12.04.2010
ТОДУА ГЕОРГИЙ ВЛАДИМИРОВИЧ20.06.1964	ПОСОЛЬСТВО РОССИИ В КОЛУМБИИ12.2008	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 10.02.2012
ТОЛКАЛИН СЕРГЕЙ НИКОЛАЕВИЧ 18.10.1955	ДЕП. ПО ГУМ. СОТРУДНИЧЕСТВУ И ПРАВАМ ЧЕЛ. 02.08.2004 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 31.07.2008
ТОЛОРАЯ ГЕОРГИЙ ДАВИДОВИЧ 03.04.1956			ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 18.07.1995
ТОЛСТОПЯТЕНКО АЛЕКСАНДР ПЕТРОВИЧ 08.10.1951	ГЕНКОНСУЛЬСТВО РОССИИ В АНТАЛЬЕ, ТУРЦИЯ  12.02.2011 11.02.2014	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 18.07.2007
ТОЛЧЕНОВ СЕРГЕЙ ГЕННАДЬЕВИЧ 07.02.1965	ПОСОЛЬСТВО РОССИИ В ИНДОНЕЗИИ 27.04.2008 26.04.2012	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 26.08.2011
ТОМИХИН ЕВГЕНИЙ ЮРЬЕВИЧ 04.02.1966	ПОСОЛЬСТВО РОССИИ В КНР 18.09.2009 17.09.2012	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 25.07.2011
ТРЕПЕЛКОВ СЕРГЕЙ ВАСИЛЬЕВИЧ 28.12.1957	ПОСТПРЕДСТВО РОССИИ ПРИ МО В НАЙРОБИ, КЕНИЯ 27.06.2007 27.06.2012	ЗАМ. ПОСТ. ПРЕДСТАВИТЕЛЯ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 08.12.2009
ТРЯПИЦЫН ВИТАЛИЙ ЕВГЕНЬЕВИЧ 23.02.1963	ПОСОЛЬСТВО РОССИИ В МОЛДАВИИ 13.09.2007 12.09.2011	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 08.12.2009
ТУЗОВ ВАЛЕРИЙ НИКОЛАЕВИЧ 06.10.1947	ДЕПАРТАМЕНТ КАДРОВ 26.10.2009 	ГЛАВНЫЙ СОВЕТНИК ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 29.03.2005
ТЯПКИН ОЛЕГ НИКОЛАЕВИЧ 24.04.1968	ПОСОЛЬСТВО РОССИИ В АВСТРИИ 12.10.2007 11.10.2012	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 21.02.2011
УДОВИЧЕНКО НИКОЛАЙ НИКОЛАЕВИЧ 19.01.1962	ВТОРОЙ ДЕПАРТАМЕНТ СТРАН СНГ 01.11.2005 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 17.12.2008
УЛАСЕВИЧ ВЛАДИМИР ПЕТРОВИЧ 02.01.1949	ПОСОЛЬСТВО РОССИИ В СЕРБИИ 21.10.2008 20.10.2011	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 12.03.2003
ФЕДОРОВ АЛЕКСЕЙ БОРИСОВИЧ 29.02.1952	ДЕП. ЛИНГВИСТИЧЕСКОГО ОБЕСПЕЧЕНИЯ 20.10.2008 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 20.01.2000
ФЕДУЛОВ АЛЕКСАНДР ВАЛЕНТИНОВИЧ 16.07.1949	ГЕНКОНСУЛЬСТВО РОССИИ В ЭРДЭНЭТЕ, МОНГОЛИЯ 09.03.2010 08.03.2012	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 29.12.2005
ФИЛИПП ВСЕВОЛОД ИВАНОВИЧ 05.01.1951	ГЕНКОНСУЛЬСТВО РОССИИ В ХАРЬКОВЕ, УКРАИНА 15.12.2007 14.12.2011	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 12.04.2010
ФОМИН НИКОЛАЙ ГЕННАДИЕВИЧ 04.02.1947	ВТОРОЙ ДЕПАРТАМЕНТ СТРАН СНГ 01.09.2007 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 12.03.2003
ХОВАЕВ ИГОРЬ АНАТОЛЬЕВИЧ 18.01.1962	РОТАЦИОННЫЙ РЕЗЕРВ 13.09.2010 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 13.04.2009
ХОЗИН АЛЕКСАНДР ГРИГОРЬЕВИЧ11.01.1962	ПОСОЛЬСТВО РОССИИ В НЕПАЛЕ 11.2008	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 10.02.2012
ХОЛОВ НУРМАХМАД МАХМАДУЛЛАЕВИЧ 22.04.1953	ДЕП-Т ПО РАБОТЕ С СООТЕЧЕСТВЕННИКАМИ ЗА РУБЕЖОМ 01.08.2006 	ГЛАВНЫЙ СОВЕТНИК ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 23.01.2004
ХОРЕВ МИХАИЛ ВЛАДИМИРОВИЧ 22.09.1956	ДЕП. ПО ГУМ. СОТРУДНИЧЕСТВУ И ПРАВАМ ЧЕЛ. 01.12.2004 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 25.05.2006
ХОТУЛЕВ ИВАН БРОНИСЛАВОВИЧ 26.02.1960	ТРЕТИЙ ЕВРОПЕЙСКИЙ ДЕПАРТАМЕНТ 01.11.2010 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 11.02.2008
ХОХОЛИКОВ АЛЕКСАНДР НИКОЛАЕВИЧ12.04.1957	ПОСОЛЬСТВО РОССИИ В ПЕРУ02.2009	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 10.02.2012
ХУДИН АЛЕКСАНДР НИКОЛАЕВИЧ 25.07.1950	ПОСОЛЬСТВО РОССИИ В НАМИБИИ 23.12.2009 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 28.11.2007
