Фамилия Имя Отчество Дата рождения	Текущее подразделение 	Текущая должность	Дипранг
ВЕКЛЕНКО АНДРЕЙ ВИКТОРОВИЧ 05.09.1959	ДЕПАРТАМЕНТ СЕВЕРНОЙ АМЕРИКИ 04.07.2011 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 07.05.2005
ВИКТОРОВ АНАТОЛИЙ ДМИТРИЕВИЧ	ДЕПАРТАМЕНТ ПО ГУМАНИТАРНОМУ СОТРУДНИЧЕСТВУ И ПРАВАМ ЧЕЛОВЕКА	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 04.02.2013
ВЛАСКИН ГЕОРГИЙ БОРИСОВИЧ 02.06.1951	ДЕПАРТАМЕНТ ИНФОРМАЦИИ И ПЕЧАТИ 03.06.2011 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 28.08.1992
ВОЗНЮК АЛЕКСАНДР ЯКОВЛЕВИЧ 21.12.1947	ДСПО 18.02.2008 	НАЧАЛЬНИК ОТДЕЛА В ДЕПАРТАМЕНТЕ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 10.12.2002
ВОЛЫНКИН ИВАН КИРИЛЛОВИЧ 11.03.1959	ГЕНСЕКРЕТАРИАТ (ДЕПАРТАМЕНТ) 15.09.2009 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 24.10.2007
ВОЛЬНОВ ВЛАДИМИР ИВАНОВИЧ 26.09.1947	ДЕПАРТАМЕНТ КАДРОВ 30.05.2003 	ГЛАВНЫЙ СОВЕТНИК ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 29.12.2005
ВОРОБЬЕВ АНДРЕЙ ВЛАДИМИРОВИЧ 20.02.1960	ПОСОЛЬСТВО РОССИИ НА УКРАИНЕ 23.07.2010 22.07.2013	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 08.12.2009
ВОРОБЬЕВА ЛЮДМИЛА ГЕОРГИЕВНА 26.01.1964	ПОСОЛЬСТВО РОССИИ В МАЛАЙЗИИ 15.06.2010 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 01.06.2009
ГАВРИЛОВ КОНСТАНТИН ЮРЬЕВИЧ 27.11.1960	ПОСОЛЬСТВО РОССИИ В НИДЕРЛАНДАХ 14.05.2006 13.05.2012	ЗАМ.ПОСТПРЕДА РФ ПРИ ОРГ.ЗАПРЕЩ. ХИМОРУЖИЯ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 06.02.2009
ГАНЖА СЕРГЕЙ ПАВЛОВИЧ 02.04.1960	ГЕНКОНСУЛЬСТВО РОССИИ В ГАМБУРГЕ, ФРГ 24.10.2005 23.10.2011	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 17.12.2008
ГАППОЕВ АЛЕКСАНДР СЕРГЕЕВИЧ	КОНСУЛЬСКИЙ ДЕПАРТАМЕНТ	ЗАМ. ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА  01.05.2012
ГАРАЕВ ВАГИФ МАМЕДВЕЛИ ОГЛЫ 24.01.1955	ГЕНКОНСУЛЬСТВО РОССИИ В БАСРЕ, ИРАК 31.07.2011 30.07.2014	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 15.01.2002
ГЕРАСИН ЮРИЙ ВАЛЕНТИНОВИЧ 21.10.1951	ГЕНКОНСУЛЬСТВО РОССИИ В СИЭТЛЕ, США 22.04.2008 21.04.2012	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 12.06.2011
ГЛЕК ЕВГЕНИЙ ГРИГОРЬЕВИЧ 05.01.1948	ПОСОЛЬСТВО РОССИИ В МЕКСИКЕ 28.09.2010 05.01.2012	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 17.06.1999
