Фамилия Имя Отчество Дата рождения	Текущее подразделение 	Текущая должность	Дипранг
ЕЛИЗАРОВ НИКОЛАЙ МИХАЙЛОВИЧ 01.05.1937	РОТАЦИОННЫЙ РЕЗЕРВ 15.08.2008 	ЭКСПЕРТ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 24.01.1992
ЕРМАКОВ АЛЕКСЕЙ АЛЕКСАНДРОВИЧ 27.03.1951	ПОСОЛЬСТВО РОССИИ В ПАНАМЕ 07.07.2009 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 21.01.2003
ЗАВГАЕВ ДОКУ ГАПУРОВИЧ 22.12.1940	ПОСОЛЬСТВО РОССИИ В СЛОВЕНИИ 23.09.2009 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 27.07.1998
ЗМЕЕВСКИЙ АЛЕКСАНДР ВЛАДИМИРОВИЧ 14.07.1957	ГРУППА ПОСЛОВ ПО ОСОБЫМ ПОРУЧЕНИЯМ МИД РФ 06.10.2011 	ПОСОЛ ПО ОСОБЫМ ПОРУЧЕНИЯМ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 28.07.2008
ЗОТИН ВИКТОР ГАВРИЛОВИЧ 04.12.1947	ПОСОЛЬСТВО РОССИИ НА ЯМАЙКЕ 03.01.2007	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 10.02.2012
ЗУРАБОВ МИХАИЛ ЮРЬЕВИЧ 03.10.1953	ПОСОЛЬСТВО РОССИИ НА УКРАИНЕ 05.08.2009 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 12.06.2011
ИВАНОВ АЛЕКСАНДР АНАТОЛЬЕВИЧ 09.05.1952	ПОСОЛЬСТВО РОССИИ В ИНДОНЕЗИИ 02.02.2007 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 08.11.2010
ИВАНОВСКИЙ ВЛАДИМИР ЕВГЕНЬЕВИЧ 09.05.1948	ПОСОЛЬСТВО РОССИИ В ТУРЦИИ 27.02.2007 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 16.01.2006
ИСАКОВ ЮРИЙ НИКОЛАЕВИЧ 18.03.1948	ПОСОЛЬСТВО РОССИИ В БОЛГАРИИ 16.08.2008 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 13.04.2009
КАБАНОВ ОЛЕГ ВИКТОРОВИЧ 28.04.1954	ПОСОЛЬСТВО РОССИИ В ЛНДР 03.02.2010 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 08.11.2010
КАБУЛОВ ЗАМИР НАБИЕВИЧ 22.06.1954	ВТОРОЙ ДЕПАРТАМЕНТ АЗИИ 17.05.2011 	ДИРЕКТОР ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 12.07.2010
КАДАКИН АЛЕКСАНДР МИХАЙЛОВИЧ 22.07.1949	ПОСОЛЬСТВО РОССИИ В ИНДИИ 27.10.2009 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 24.01.1994
КАЛУГИН АЛЕКСАНДР МИХАЙЛОВИЧ 20.09.1945	ПОСОЛЬСТВО РОССИИ В ИОРДАНИИ 07.03.2006 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 22.07.2003
КАМЫНИН МИХАИЛ ЛЕОНИДОВИЧ 13.08.1956	ПОСОЛЬСТВО РОССИИ НА КУБЕ 14.04.2008 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 13.11.2007
